title,percentage,cash,time
CD CENTRAL DO AMOR •  Marina Gomes,89%,R$ 19.610,8 horas
MEU LIVRO,3854%,R$ 9.635,17 dias
Utopia imperfeita,146%,R$ 2.203,43 dias
Tattoo Renan Sampaio para a cura da Drika ,11%,R$ 1.100,71 dias
Eu Hei de Vencer	 o livro.,10%,R$ 1.855,26 dias
A gente pode	 a gente faz,26%,R$ 4.395,16 dias
Revista Diário Macabro n. 06,11%,R$ 753,27 dias
RJ - Construção 1910 - Carolina Noronha,64%,R$ 5.175,16 dias
Brad Barron Vol. 1,25%,R$ 4.388,54 dias
Fate Criaturas Fantásticas,2874%,R$ 2.874,Iniciado há<br />17 dias
Livro Infantil "O Laço que virou Abraço",23%,R$ 3.920,17 dias
O Balé das Aves Mortas,31%,R$ 1.085,67 dias
RJ - Construção 1910 - Leticia Nasser,69%,R$ 5.577,16 dias
Castelos e Ruínas – Curta,20%,R$ 1.255,27 dias
Bad Wömen vol.3,99%,R$ 22.945,45 dias
EU SOU LUME,2%,R$ 590,59 dias
A tragédia mais insignificante do mundo,17%,R$ 2.270,37 dias
Gotas que encharcam ,18%,R$ 2.140,57 dias
Lilith vol. 1,62%,R$ 11.819,17 dias
As Aventuras no Planeta Zeta,4%,R$ 1.880,18 dias
Na Dobra do Mapa,12%,R$ 380,32 dias
PROJETO VIZINE #2,277%,R$ 2.770,3 dias
Lauren - Pré-venda,45%,R$ 2.286,23 dias
Esconderijo | Websérie LGBTI | Terceira Temporada,19%,R$ 12.391,Iniciado há<br />72 dias
Theatro Homerinho,3%,R$ 2.910,37 dias
Documentário Guardaram Por Nós,51%,R$ 1.530,10 dias
Uma janela para a Rússia,9%,R$ 725,14 dias
The Rift,3%,R$ 545,47 dias
Santo Pinhão,10%,R$ 415,48 dias
Illustration / Sketchbook / Cárcamo,48%,R$ 16.803,43 dias
Representar PE na Berlim Design Week 2019,49%,R$ 4.850,14 dias
ARACY no Poeirinha,33%,R$ 3.830,1 dia
Livro Além dos Aventais,6%,R$ 3.213,Iniciado há<br />4 dias
Sombras do Recife Vol 1- A Presença Dela,52%,R$ 784,49 dias
1 MILHÃO DE AGULHAS,257%,R$ 12.855,34 dias
RJ - Construção 1910 - Mariana Lima,84%,R$ 6.764,16 dias
A garota dos meus sonhos,30%,R$ 5.045,51 dias
Ana Melo | Gravação do EP "Arremate",23%,R$ 2.135,81 dias
CARANGUEJO CARD GAME,7%,R$ 1.354,53 dias
TEM HERÓI QUE...,24%,R$ 1.115,11 dias
Janaína,38%,R$ 310,57 dias
Cia Zezeca- Novo Espetáculo "PHGA",1%,R$ 140,Iniciado há<br />6 dias
RJ - Construção 1910 - Fabio Afonso,66%,R$ 5.280,16 dias
Por onde anda João?,91%,R$ 3.770,5 dias
RJ - Construção 1910 - Patricia Oliveira,46%,R$ 3.680,16 dias
"Primeira Grande Mudança Mundial" - Livro,16%,R$ 3.468,24 dias
Amores Guardei,24%,R$ 3.195,38 dias
Livro A Odisseia do pequeno Bento,5%,R$ 2.570,27 dias
Vamos lançar o livro físico "Wish You Were Here"!,88%,R$ 2.489,4 dias
Betina Vlad e a Maldição da Múmia,15%,R$ 2.170,36 dias
Minifoguetes: Anhangá I e H1000,95%,R$ 1.915,Iniciado há<br />6 dias
Apoie o Vini ,11%,R$ 675,Iniciado há<br />1 dia
RJ - Construção 1910 - Rodrigo Lustosa,84%,R$ 6.780,16 dias
RJ - Construção 1910 - João Costa,54%,R$ 4.370,16 dias
Rancho do Corvo Dourado,13%,R$ 3.305,58 dias
Da Lapa ao Ponto,16%,R$ 3.105,3 dias
Happy - A história de um cãozinho feliz,71%,R$ 2.840,10 dias
Inclusão em Manaus,5%,R$ 2.265,8 dias
3º CineBaru - Mostra Sagarana de Cinema,10%,R$ 2.115,19 dias
Os Melhores Anos de Nossas Vidas,4%,R$ 1.860,Iniciado há<br />16 dias
Caçadora de fãs: uma aventura acadêmica,13%,R$ 1.345,39 dias
Higor Pesadelos,8%,R$ 1.210,53 dias
Bói: Relacionamentos toscos para acalmar o coração,45%,R$ 1.171,29 dias
Ajuda para Livro e Filme SOS Terra !,5%,R$ 1.080,29 dias
Muito Além dos Videogames - Crônicas dos amigos,64%,R$ 965,11 dias
O Triste Destino da Namorada do Ultra-Homem,17%,R$ 874,50 dias
Vlad,12%,R$ 755,52 dias
Pré-Campanha Milan dos Coelhos,3%,R$ 350,20 dias
CASULO - Casa Colaborativa,1%,R$ 235,19 dias
Liberdade de Pensar: Estudos à luz do Rito Moderno,8%,R$ 220,59 dias
BA - Construção 1909 - Carla Passos,92%,R$ 7.425,10 dias
Jornada da Leitura no Cárcere,10%,R$ 5.095,24 dias
Gravação e Lançamento CD "Num Mundo Maior",19%,R$ 4.840,23 dias
[+18] Nua Nah Rua!,117%,R$ 3.520,13 dias
RJ - Construção 1910 - Thaís Jarlicht,38%,R$ 3.100,16 dias
Lançamento do livro Da tua Rosa,59%,R$ 2.715,15 dias
Ajude-nos a ir ao Congresso na Paraíba,82%,R$ 2.475,46 dias
Abraço,24%,R$ 2.410,54 dias
Vivendo o Ensino Médio com Sabedoria,24%,R$ 2.020,16 dias
A Pedra Preciosa,20%,R$ 2.000,7 dias
Ajude-nos a hackear na Rússia!,7%,R$ 1.960,24 dias
Olga	 a sexóloga - vol. 2,18%,R$ 1.710,21 dias
QUEREMOS SER GRANDES!,51%,R$ 1.556,25 dias
Ograria nas Férteis - Livro Jogo,94%,R$ 1.415,16 dias
Em Chamas - temporada de estreia,14%,R$ 1.400,Iniciado há<br />10 dias
Corpos Lavados,12%,R$ 895,8 dias
Leticia Coelho Brota,1%,R$ 890,Iniciado há<br />5 dias
Em Suas Mãos,83%,R$ 670,Iniciado há<br />7 dias
Nostalgia + Monad RPG - Late Pledge,285%,R$ 570,19 dias
Hamburgueria Rock e Beer - O recomeço,2%,R$ 515,24 dias
Rua da Criança,3%,R$ 450,85 dias
Ana na Rússia- Aна в Pоссии,13%,R$ 290,36 dias
Festival de Cinema e Ambiente da Cidade de Goiás,0%,R$ 250,17 dias
Panapaná: Queridas Borboletas,1%,R$ 245,Iniciado há<br />17 dias
Pré-venda do livro "Fuligem de Chaminé",2%,R$ 165,58 dias
Bioconstrução em ponto de cultura no Campo Belo,0%,R$ 155,Iniciado há<br />7 dias
RJ - Construção 1910 - Gabriela Padilha,120%,R$ 9.620,16 dias
Livro: Interculturalidade e Território,42%,R$ 3.685,47 dias
Sombras Urbanas | LATE PLEDGE,3375%,R$ 3.375,Iniciado há<br />20 dias
O COMEDOR DE NUVEM,33%,R$ 3.335,33 dias
Insânia: nos domínios do pesadelo,30%,R$ 3.060,12 dias
Dias Digitais: Respostas Nos Escombros,62%,R$ 2.836,12 dias
Full House,12%,R$ 2.560,38 dias
Antologia Nas Mãos da Morte,42%,R$ 2.395,22 dias
