title,percentage,project_url,cash,time
Intercept Brasil nas eleições,135%,/tibnaseleicoes?ref=ctrse_explore,R$ 122.242,07/09/2018
Nos Passos do Mestre,298%,/nospassosdomestre?ref=ctrse_explore,R$ 119.276,08/08/2013
RPGQuest - Dungeons,296%,/rpgquest_dungeons?ref=ctrse_explore,R$ 118.775,17/09/2018
Falkenstein,579%,/falkenstein?ref=ctrse_explore,R$ 115.837,06/04/2018
DVD - Missionário Shalom,115%,/missionarioshalom?ref=ctrse_explore,R$ 115.655,18/06/2015
Chicos: The Book,137%,/aboutchicos?ref=ctrse_explore,R$ 115.355,08/07/2016
Trajes Fatais,143%,/trajes_fatais?ref=ctrse_explore,R$ 114.444,31/03/2017
Calcinhas menstruais Herself,379%,/calcinhasherself?ref=ctrse_explore,R$ 113.934,11/04/2018
WarpZone Essencial: The King of Fighters,455%,/kof?ref=ctrse_explore,R$ 113.801,17/10/2017
Casacadabra | livro de arquitetura para crianças,143%,/casacadabra?ref=ctrse_explore,R$ 112.983,14/06/2016
Documentário Me Farei Ouvir,128%,/mefareiouvir?ref=ctrse_explore,R$ 112.422,12/08/2019
Mouse Guard RPG,112246%,/mouse_guard?ref=ctrse_explore,R$ 112.246,05/10/2018
KELY vai pra BERKLEE!,166%,/kely_vai_pra_berklee_9104?ref=ctrse_explore,R$ 112.243,26/07/2018
São Paulo Eixo Z,179%,/eixoz?ref=ctrse_explore,R$ 111.497,08/12/2018
Meu Amigo Nico,113%,/meuamigonico?ref=ctrse_explore,R$ 110.957,19/05/2017
Trabalho decente,101%,/trabalhodecente?ref=ctrse_explore,R$ 110.858,18/05/2015
Facas Deli&Co + K.Sabatier | Forjadas com história,109%,/facas_delico_ksabatier?ref=ctrse_explore,R$ 109.686,24/02/2019
Catálogo 10ª Bienal ADG,122%,/CatalogoBienalADG?ref=ctrse_explore,R$ 107.746,09/12/2013
Shadow of the Demon Lord RPG,269%,/demonlord?ref=ctrse_explore,R$ 107.713,14/11/2016
#FicaBrincante,107%,/ficabrincante?ref=ctrse_explore,R$ 107.622,26/06/2015
7º Mar,268%,/7omar?ref=ctrse_explore,R$ 107.295,18/01/2017
Domínio Público,116%,/dominiopublico?ref=ctrse_explore,R$ 106.181,16/11/2012
Enciclopédia de Mitologia,209%,/mitologia?ref=ctrse_explore,R$ 104.779,24/04/2019
Liniker e os Caramelows lançam o álbum REMONTA,148%,/liniker?ref=ctrse_explore,R$ 104.012,22/07/2016
Apanhador Só - Turnê nacional "na sala de estar" + Gravação do próximo álbum,133%,/apanhador?ref=ctrse_explore,R$ 103.898,22/07/2015
IV Encontro Nacional de Agroecologia - ENA,103%,/ivena1?ref=ctrse_explore,R$ 103.859,15/05/2018
Lindo Sonho Delirante 2,204%,/lsd2?ref=ctrse_explore,R$ 102.290,14/06/2018
Casacadabra 2: Cidades para Brincar,115%,/casacadabra2?ref=ctrse_explore,R$ 100.630,15/06/2018
Starfinder,142%,/Starfinder?ref=ctrse_explore,R$ 99.665,15/12/2018
WarpZone Mega Drive Definitivo,331%,/megadrive?ref=ctrse_explore,R$ 99.539,10/04/2017
Livro do SP Invisível ,171%,/acidadequeninguemve?ref=ctrse_explore,R$ 99.265,19/11/2016
Felicidade fechada,113%,/felicidade_fechada_c7cd?ref=ctrse_explore,R$ 99.063,17/11/2016
Cidade Cinza - O Filme,119%,/cidadecinza?ref=ctrse_explore,R$ 98.778,13/09/2013
Jaguaretê: um livro em homenagem à Onça-Pintada,123%,/araquem?ref=ctrse_explore,R$ 98.623,23/06/2017
DCC RPG,281%,/DCCRPG?ref=ctrse_explore,R$ 98.602,21/03/2017
Livro Arena Corinthians	 Tu És Orgulho,103%,/livroarenacorinthians?ref=ctrse_explore,R$ 98.594,09/12/2017
Ritos do Nascer ao Parir,107%,/ritos?ref=ctrse_explore,R$ 96.993,18/04/2018
Apoie o Le Monde Diplomatique Brasil,102%,/apoieodiplo?ref=ctrse_explore,R$ 96.909,02/02/2018
Ars Magica Quinta Edição,272%,/arsmagica?ref=ctrse_explore,R$ 95.528,20/06/2018
DHARMA. Fotos da Índia e do Nepal.,112%,/dharma?ref=ctrse_explore,R$ 95.270,15/11/2015
Grasse - Mestres Perfumistas,431%,/grasse?ref=ctrse_explore,R$ 94.963,24/09/2018
Arquitetura em Retrospectiva,113%,/arquitetura_em_retrospectiva?ref=ctrse_explore,R$ 94.935,22/09/2017
CryptoRave 2019 - 3 e 4 de maio,135%,/cryptorave2019?ref=ctrse_explore,R$ 94.703,12/04/2019
Livro "Viajo logo Existo 1 ano na Ásia & Oceania",222%,/vle?ref=ctrse_explore,R$ 93.531,26/12/2016
Pequenas Igrejas	 Grandes Negócios,317%,/pign?ref=ctrse_explore,R$ 92.125,22/06/2014
Natal Invisível 2018 - O Amor Ilumina,115%,/natalinvisivel2018?ref=ctrse_explore,R$ 91.818,20/12/2018
Carol Biazin | Meu Projeto Autoral,181%,/carolbiazin?ref=ctrse_explore,R$ 90.705,24/10/2018
Além da Cura,104%,/alemdacura2018?ref=ctrse_explore,R$ 90.162,13/06/2018
Festival Internacional de Artes de Tiradentes: Artes Vertentes,101%,/artesvertentes2014?ref=ctrse_explore,R$ 90.020,30/08/2014
LENDAS | Chiaroscuro Studios Yearbook 2018,355%,/lendas?ref=ctrse_explore,R$ 88.851,05/11/2018
Ajude Rafael a estudar em Harvard,175%,/hms?ref=ctrse_explore,R$ 88.388,31/12/2017
Novas salas para a Miguel Arcanjo,58%,/novas_salas_para_a_miguel_arcanjo_82e0?ref=ctrse_explore,R$ 88.170,17/11/2016
Natal Invisível 2017 - Natal Para Todos,114%,/spinvisivel_natal2017?ref=ctrse_explore,R$ 86.594,14/12/2017
Casa do Povo | Monumento Vivo ,115%,/casadopovo?ref=ctrse_explore,R$ 86.412,11/12/2015
Livro: América do Sul Sobre Rodas,128%,/sobrerodas?ref=ctrse_explore,R$ 86.146,04/11/2016
Guarani Kaiowá - Financiamento Coletivo,107%,/kaiowa?ref=ctrse_explore,R$ 85.910,13/01/2014
Casa Jardim Secreto,121%,/casajardimsecreto?ref=ctrse_explore,R$ 85.390,29/06/2017
Flor do Moinho,170%,/flordomoinho?ref=ctrse_explore,R$ 85.165,26/05/2015
Reportagem Pública 2017,105%,/reportagempublica2017?ref=ctrse_explore,R$ 84.483,27/10/2017
#ReturnMaosAObra,106%,/maosaobra?ref=ctrse_explore,R$ 84.345,06/11/2015
Lindo Sonho Delirante	 o livro,187%,/lsd?ref=ctrse_explore,R$ 84.261,16/08/2016
São Paulo e Suas Casas ,131%,/spcasas?ref=ctrse_explore,R$ 84.075,21/02/2019
Olympia,111%,/olympia?ref=ctrse_explore,R$ 83.080,11/12/2015
#365nus | Livro e Exposição,82%,/365nus?ref=ctrse_explore,R$ 82.446,11/07/2016
CryptoRave 2018,115%,/cryptorave2018?ref=ctrse_explore,R$ 80.979,06/04/2018
Jornal Rascunho,101%,/jornalrascunho?ref=ctrse_explore,R$ 80.949,09/10/2017
SOS cannabis medicinal,133%,/farmacanabis?ref=ctrse_explore,R$ 80.767,20/02/2017
Ampliando a Vila Verde,35%,/escolavilaverde?ref=ctrse_explore,R$ 80.519,30/11/2017
Operação Serenata de Amor,131%,/serenata?ref=ctrse_explore,R$ 80.424,06/11/2016
Livro Graziela Pinto,105%,/livro_graziela_pinto_96af?ref=ctrse_explore,R$ 79.160,15/02/2017
PISEAGRAMA espaço público periódico,112%,/piseagrama?ref=ctrse_explore,R$ 79.055,21/11/2014
Chiaroscuro Studios Yearbook 2016,394%,/yearbook?ref=ctrse_explore,R$ 78.911,10/10/2016
Nei Lisboa – A Vida Inteira,122%,/neilisboa?ref=ctrse_explore,R$ 78.525,05/07/2013
Tsukiji Board Game,390%,/tsukiji?ref=ctrse_explore,R$ 78.138,19/12/2017
