contributors,goal,pledged,type,where,title,percentage,cash,time,project_url
324 pessoas,Meta R$ 50.000,R$ 39.089,Campanha Flexível , São Paulo	 SP,Combo Rangers 3 - Somos Iguais,78%,R$ 39.089,14/10/2017,/comborangers3?ref=ctrse_explore
369 pessoas,Meta R$ 37.161,R$ 39.025,Campanha Tudo-ou-nada , Belo Horizonte	 MG,DVD Amaranto e Orquestra de Câmara de Ouro Branco,105%,R$ 39.025,25/11/2016,/dvdamarantoeorquestra?ref=ctrse_explore
510 pessoas,Meta R$ 28.000,R$ 39.012,Campanha Tudo-ou-nada , São Paulo	 SP,Contos Reunidos do Mestre do Horror Cósmico,139%,R$ 39.012,20/10/2016,/lovecraft?ref=ctrse_explore
83 pessoas,Meta R$ 34.539,R$ 38.923,Campanha Tudo-ou-nada , Balneário Camboriú	 SC,GOLDEN AGE - A ERA DE OURO DOS QUADRINHOS,112%,R$ 38.923,29/11/2013,/eradeouro?ref=ctrse_explore
110 pessoas,Meta R$ 26.800,R$ 38.745,Campanha Tudo-ou-nada , São Paulo	 SP,um pra um,144%,R$ 38.745,14/08/2014,/umpraum?ref=ctrse_explore
141 pessoas,Meta R$ 24.000,R$ 38.742,Campanha Tudo-ou-nada , São Carlos	 SP,Anime Saga,161%,R$ 38.742,10/06/2017,/anime_saga?ref=ctrse_explore
232 pessoas,Meta R$ 38.000,R$ 38.675,Campanha Tudo-ou-nada , Porto Alegre	 RS,Finalização do álbum CASA de Gisele De Santi,101%,R$ 38.675,21/12/2015,/casagiseledesanti?ref=ctrse_explore
441 pessoas,Meta R$ 35.000,R$ 38.666,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Apartamento 302	 o livro,110%,R$ 38.666,15/09/2013,/apartamento302?ref=ctrse_explore
471 pessoas,Meta R$ 35.000,R$ 38.560,Campanha Tudo-ou-nada , Caldas	 MG,III Fórum Mundial da Bicicleta,110%,R$ 38.560,03/11/2013,/fmb2014?ref=ctrse_explore
317 pessoas,Meta R$ 31.640,R$ 38.492,Campanha Flexível , Recife	 PE,AVE SANGRIA / PRODUÇÃO DO VINIL VENDAVAIS,121%,R$ 38.492,09/06/2019,/ave_sangria?ref=ctrse_explore
273 pessoas,Meta R$ 34.000,R$ 38.476,Campanha Tudo-ou-nada , Porto Alegre	 RS,As histórias do Pequeno Patachú,113%,R$ 38.476,12/02/2017,/patachu?ref=ctrse_explore
437 pessoas,Meta R$ 35.000,R$ 38.421,Campanha Tudo-ou-nada , São Paulo	 SP,DOC - Visionários da Quebrada,109%,R$ 38.421,13/01/2018,/visionariosdaquebrada?ref=ctrse_explore
375 pessoas,Meta R$ 34.946,R$ 38.409,Campanha Tudo-ou-nada , São Paulo	 SP,Coleção DAS COISAS,109%,R$ 38.409,02/11/2018,/colecaodascoisas?ref=ctrse_explore
143 pessoas,Meta R$ 37.500,R$ 38.350,Campanha Tudo-ou-nada , São Paulo	 SP,Paulistanas 2017,102%,R$ 38.350,23/12/2016,/paulistanas2017?ref=ctrse_explore
452 pessoas,Meta R$ 23.000,R$ 38.282,Campanha Tudo-ou-nada , Brasília	 DF,Nudus Magazine #4,166%,R$ 38.282,10/10/2017,/nudusmagazine4?ref=ctrse_explore
449 pessoas,Meta R$ 27.000,R$ 38.265,Campanha Tudo-ou-nada , São Paulo	 SP,A Costureirinha de volta!,141%,R$ 38.265,06/09/2018,/acostureirinha?ref=ctrse_explore
240 pessoas,Meta R$ 30.000,R$ 38.233,Campanha Tudo-ou-nada , Goiânia	 GO,Hellbenders grava no Rancho de La Luna,127%,R$ 38.233,03/10/2014,/HellbendersNoRancho?ref=ctrse_explore
18 pessoas,Meta R$ 37.550,R$ 38.225,Campanha Tudo-ou-nada , Belo Horizonte	 MG,Vou Ser Pai	 livro de Fernando Dias,101%,R$ 38.225,31/07/2017,/vouserpai?ref=ctrse_explore
353 pessoas,Meta R$ 35.000,R$ 38.185,Campanha Tudo-ou-nada , São Paulo	 SP,Centro Cultural Caiçara - Associação dos Jovens da Juréia,109%,R$ 38.185,11/10/2012,/centro-cultural-caicara-associacao-dos-jovens-da-jureia?ref=ctrse_explore
490 pessoas,Meta R$ 34.000,R$ 38.181,Campanha Tudo-ou-nada , Salvador	 BA,Noir Carnavalesco,112%,R$ 38.181,05/07/2019,/noircarnavalesco?ref=ctrse_explore
33 pessoas,Meta R$ 25.990,R$ 38.130,Campanha Tudo-ou-nada , São Paulo	 SP,NARS Foundation Residency,146%,R$ 38.130,09/12/2013,/sandranars?ref=ctrse_explore
265 pessoas,Meta R$ 35.000,R$ 38.120,Campanha Tudo-ou-nada , São Paulo	 SP,Conectar,108%,R$ 38.120,28/06/2016,/wem?ref=ctrse_explore
636 pessoas,Meta R$ 30.000,R$ 38.092,Campanha Tudo-ou-nada , Niterói	 RJ,Beladona,126%,R$ 38.092,10/11/2014,/beladona?ref=ctrse_explore
197 pessoas,Meta R$ 35.500,R$ 37.980,Campanha Tudo-ou-nada , São Paulo	 SP,Chefe Aprendiz Paraisópolis,106%,R$ 37.980,12/04/2015,/chefeaprendiz?ref=ctrse_explore
314 pessoas,Meta R$ 40.000,R$ 37.966,Campanha Flexível , Bragança	 PA,Vamos reeditar os livros de Dalcídio Jurandir?,94%,R$ 37.966,19/12/2018,/chovenoscampos?ref=ctrse_explore
421 pessoas,Meta R$ 29.000,R$ 37.966,Campanha Tudo-ou-nada , Porto Alegre	 RS,MORT CINDER de Oesterheld e Breccia,130%,R$ 37.966,17/08/2018,/mort_cinder?ref=ctrse_explore
901 pessoas,Meta R$ 15.000,R$ 37.873,Campanha Tudo-ou-nada , Belo Horizonte	 MG,Navio Dragão,252%,R$ 37.873,09/04/2015,/naviodragao?ref=ctrse_explore
307 pessoas,Meta R$ 32.650,R$ 37.840,Campanha Tudo-ou-nada , Belo Horizonte	 MG,AZUL ESCURO | Um cruzeirense na Amazônia,115%,R$ 37.840,07/12/2017,/azulescuro?ref=ctrse_explore
281 pessoas,Meta R$ 34.000,R$ 37.710,Campanha Tudo-ou-nada , São Paulo	 SP,Uma sede para o Núcleo Universitário de Ópera!,110%,R$ 37.710,21/01/2014,/NUO?ref=ctrse_explore
434 pessoas,Meta R$ 33.000,R$ 37.693,Campanha Flexível , Rio de Janeiro	 RJ,Letrux em Noite de Climão,114%,R$ 37.693,21/04/2017,/letrux?ref=ctrse_explore
405 pessoas,Meta R$ 16.500,R$ 37.680,Campanha Tudo-ou-nada , São Paulo	 SP,O Martelo das Feiticeiras,228%,R$ 37.680,03/12/2018,/martelodasfeiticeiras?ref=ctrse_explore
541 pessoas,Meta R$ 25.000,R$ 37.619,Campanha Tudo-ou-nada , Porto Alegre	 RS,O Uso das Cores (livro sobre colorização),150%,R$ 37.619,12/07/2013,/usodascores?ref=ctrse_explore
310 pessoas,Meta R$ 27.000,R$ 37.452,Campanha Tudo-ou-nada , São José dos Campos	 SP,Dampyr Vol.2 + Vol.3,138%,R$ 37.452,02/08/2019,/dampyr2e3?ref=ctrse_explore
64 pessoas,Meta R$ 35.000,R$ 37.395,Campanha Tudo-ou-nada , São Paulo	 SP,Tokiori - Dobras do Tempo,106%,R$ 37.395,21/10/2013,/tokiori?ref=ctrse_explore
185 pessoas,Meta R$ 30.000,R$ 37.365,Campanha Flexível , Rio de Janeiro	 RJ,Espetáculo "Tudo o que há Flora",124%,R$ 37.365,08/05/2016,/tudooquehaflora?ref=ctrse_explore
101 pessoas,Meta R$ 36.000,R$ 37.270,Campanha Tudo-ou-nada , São Paulo	 SP,S.A.S. Brasil 5 :-) :-) :-) :-) :-),103%,R$ 37.270,28/09/2017,/sasbrasil5?ref=ctrse_explore
207 pessoas,Meta R$ 35.000,R$ 37.255,Campanha Tudo-ou-nada , São Paulo	 SP,Finalização do álbum ANNA SETTON,106%,R$ 37.255,27/09/2018,/annasetton?ref=ctrse_explore
162 pessoas,Meta R$ 36.000,R$ 37.219,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Interface Zero RPG,103%,R$ 37.219,19/12/2015,/interfacezero?ref=ctrse_explore
429 pessoas,Meta R$ 23.000,R$ 37.197,Campanha Tudo-ou-nada , Brasília	 DF,Nudus Magazine #3,161%,R$ 37.197,26/03/2017,/nudusmagazine3?ref=ctrse_explore
192 pessoas,Meta R$ 34.635,R$ 37.190,Campanha Tudo-ou-nada , São Paulo	 SP,Privatização da Rua,107%,R$ 37.190,01/10/2014,/ag2?ref=ctrse_explore
308 pessoas,Meta R$ 45.000,R$ 37.115,Campanha Flexível , Vitória	 ES,Guia de Escaladas do Espírito Santo,82%,R$ 37.115,16/11/2017,/guiaes?ref=ctrse_explore
520 pessoas,Meta R$ 30.000,R$ 37.095,Campanha Tudo-ou-nada , São Paulo	 SP,Ajude o Não Me Kahlo a ser uma ONG,123%,R$ 37.095,10/04/2018,/naomekahlo?ref=ctrse_explore
716 pessoas,Meta R$ 26.000,R$ 37.084,Campanha Tudo-ou-nada , Santana de Parnaíba	 SP,321: Fast Comics,142%,R$ 37.084,27/06/2014,/321FastComics?ref=ctrse_explore
84 pessoas,Meta R$ 36.000,R$ 37.070,Campanha Tudo-ou-nada , Curitiba	 PR,Audiobook Dois chocolates para Joaquim,102%,R$ 37.070,28/02/2018,/audiobookdoischocolates?ref=ctrse_explore
422 pessoas,Meta R$ 32.000,R$ 37.023,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Nosso - Bruno Camurati,115%,R$ 37.023,14/12/2018,/nosso?ref=ctrse_explore
207 pessoas,Meta R$ 30.000,R$ 37.015,Campanha Tudo-ou-nada , São Paulo	 SP,CD Estórias de Cantar,123%,R$ 37.015,09/01/2015,/bandaestralo?ref=ctrse_explore
160 pessoas,Meta R$ 33.900,R$ 36.981,Campanha Flexível , Rio de Janeiro	 RJ,Projeto Mão Dada,109%,R$ 36.981,18/10/2018,/projeto_mao_dada?ref=ctrse_explore
293 pessoas,Meta R$ 117.837,R$ 36.960,Campanha Flexível , São Paulo	 SP,Um Céu de Estrelas | Digitalização,31%,R$ 36.960,04/11/2017,/umceudeestrelas?ref=ctrse_explore
81 pessoas,Meta R$ 350.000,R$ 36.870,Campanha Flexível , São Paulo	 SP,120 Anos da FCF/USP,10%,R$ 36.870,18/10/2018,/120_anos_FCF?ref=ctrse_explore
642 pessoas,Meta R$ 17.000,R$ 36.863,Campanha Tudo-ou-nada , Salvador	 BA,Araruama - O Livro das Sementes,216%,R$ 36.863,03/06/2017,/araruama?ref=ctrse_explore
51 pessoas,Meta R$ 33.846,R$ 36.780,Campanha Tudo-ou-nada , Cruz	 CE,SAS Brasil no Preá 2018,108%,R$ 36.780,30/10/2018,/sasbrasil-prea18?ref=ctrse_explore
